ID,FONTE,NOME,COLETADOR,LOCATION,PAIS,ESTADO,CIDADE,LATITUDE,LONGITUDE,ANO_COLETA,MES_COLETA,DIA_COLETA
410853,gbif,"Justicia ciliata Jacq.","Gallindo, F.; Barreto, R.; Rita Pereira; Bocage, A.; Barreto, R.; Rita Pereira; Bocage, A.","estrada para Pontas de Pedra, próximo à entrada para Tijucupapo e Carne de Vaca.",BR,Pernambuco,Goiana,0.0,0.0,1982,12,18
410854,gbif,"Justicia ciliata Jacq.","Lima, V.C.; Andrade-Lima; Zoé Brito; Andrade-Lima; Zoé Brito","na subida da Serra Negra à beira do caminho.",BR,Pernambuco,Inajá,-8.7,-38.033333,1980,08,19
410855,gbif,"Dyschoriste maranhonis Kuntze","Leite, M.S.","Engenho Curtume, Rio Pirangi, área de inundação próxima a nascente do bananal. Formação Ribeirinha Típica.",BR,Pernambuco,Maraial,-8.801389,-35.838889,2006,09,22
410856,gbif,"Dyschoriste maranhonis Kuntze",M.S.Leite,"Engenho Curtume",BR,Pernambuco,Maraial,-8.801389,-35.838889,2006,09,22
410857,gbif,"Dyschoriste maranhonis Kuntze","J.A. Siqueira Filho","Brejo dos Cavalos",BR,Pernambuco,Caruaru,-8.366667,-36.033333,1996,10,20
410858,gbif,"Dyschoriste maranhonis Kuntze","G.S.Baracno; J.A.Siqueira Filho - E.A.Rocha","Engenho  Curtume.  Mesoregiao  da  Mata  Pernambucana,  170km  do  centro  de  Recife.",BR,Pernambuco,Maraial,-8.8,-35.833333,1996,10,13
410859,gbif,"Dyschoriste maranhonis Kuntze","G. Hatschbach & O. Guimarães","Rod. BA-046 (mun. Milagres).",BR,Paraná,NULL,NULL,NULL,1982,07,18
410860,gbif,"Dyschoriste maranhonis Kuntze","Hatschbach, G; Guimarães, O","Rodovia BA-046",BR,Bahia,Milagres,0.0,0.0,1982,07,18
410861,gbif,"Dyschoriste maranhonis Kuntze","Hatschbach, G.","Arredores de Milagres.",BR,Bahia,Milagres,NULL,NULL,1979,07,18
410862,gbif,"Dyschoriste maranhonis Kuntze","G. G. Hatschbach","Milagres, arredores",BR,Bahia,NULL,-12.87366344239304,-39.85884061220967,1979,07,18
410863,gbif,"Dyschoriste maranhonis Kuntze","G. Hatschbach & O. Guimarães","Milagres, arredores, Bahia.",BR,Bahia,NULL,NULL,NULL,1979,07,18
410864,gbif,"Dyschoriste maranhonis Kuntze","Rambo, B.","Fazenda do Arroio",BR,Rs,Osório,NULL,NULL,1958,01,23
410865,gbif,"Dyschoriste maranhonis Kuntze","Rambo, B.",Cachoeirinha,BR,Rs,Gravataí,NULL,NULL,1949,01,07
410866,gbif,"Dyschoriste maranhonis Kuntze","Hatschbach, G.","Eng. Bley",BR,Pr,Lapa,NULL,NULL,1948,09,26
410867,gbif,"Dyschoriste maranhonis Kuntze","Rambo, B.","ad fl. Uruguay",BR,Rs,Nonoai,NULL,NULL,1945,03,01
410868,gbif,"Dyschoriste maranhonis Kuntze","A. Heidler SJ",NULL,BR,Rs,"Santa Maria",NULL,NULL,1943,01,01
410869,gbif,"Dyschoriste maranhonis Kuntze","Loefgren, A","Campo Capivary",BR,"São Paulo",Paranapanema,0.0,0.0,1899,11,26
410870,gbif,"Dyschoriste maranhonis Kuntze","H. Ruíz L. & J. A. Pavón",NULL,PE,NULL,NULL,-9.1839,-74.14,1778,01,01
410871,gbif,"Dyschoriste maranhonis Kuntze",NULL,Paraguay,PY,NULL,NULL,NULL,NULL,,,
410872,gbif,"Dyschoriste maranhonis Kuntze","F. Sellow",NULL,BR,NULL,NULL,NULL,NULL,,,
410873,gbif,"Dyschoriste maranhonis Kuntze",Sellow,NULL,BR,NULL,NULL,NULL,NULL,,,
410874,gbif,"Dyschoriste maranhonis Kuntze","G. Hatschbach","Rod. BA-046.",BR,Bahia,MILAGRES,NULL,NULL,,,
410875,gbif,"Hygrophila costata Nees","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.",NULL,BR,"Santa Catarina",Agrolândia,-27.54,-49.770556,2018,01,28
410876,gbif,"Hygrophila costata Nees","A.Maruyama & L.Cicco",NULL,BR,Sp,Cunha,-23.229444,-45.014722,2018,02,11
410877,gbif,"Hygrophila costata Nees","E.L. Siqueira","Estação Ecológica Municipal Colombo",BR,Pr,"Mato Rico",-24.738861,-52.227472,2018,03,13
410878,gbif,"Hygrophila costata Nees","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Althoff, L.F.",NULL,BR,"Santa Catarina",Urubici,-28.080278,-49.406667,2018,03,13
410879,gbif,"Hygrophila costata Nees","M.G. Caxambu","Estação Ecológica Municipal Francisco",BR,Pr,"Reserva do Iguaçu",-25.923222,-51.858194,2018,04,27
410880,gbif,"Hygrophila costata Nees","Dan Johnson",NULL,US,Texas,NULL,29.725057,-95.70954,2018,04,29
410881,gbif,"Hygrophila costata Nees","F.A. Lichtenfelz","Parque Natural Municipal São Francisco de Assis",BR,"Santa Catarina",Blumenau,-26.920833,-49.091667,2017,01,26
410882,gbif,"Hygrophila costata Nees","Lichtenfelz, F.A.",NULL,BR,"Santa Catarina",Blumenau,-26.920833,-49.091667,2017,01,26
410883,gbif,"Hygrophila costata Nees","Wetterling, A.","EARLVILLE SHOPPING CENTRE CAIRNS",AU,Queensland,NULL,-16.941564006702144,145.74279200000004,2017,01,01
410884,gbif,"Hygrophila costata Nees","O'Reilly, T.","PETRIE CREEK NAMBOUR, DOWNSTREAM FROM QUOTA PARK",AU,Queensland,NULL,-26.624755020726386,152.96498,2017,02,28
410885,gbif,"Hygrophila costata Nees","M. Caumo","Vila Capivarita, Horto Tarumã CMPC",BR,"Rio Grande do Sul","Pantano Grande",-30.324547,-52.485831,2017,02,08
410886,gbif,"Hygrophila costata Nees",NULL,"PETRIE CREEK NAMBOUR, DOWNSTREAM FROM QUOTA PARK",AU,Queensland,NULL,-26.624755,152.96498,2017,02,28
410887,gbif,"Hygrophila costata Nees","Harris, S.","140 CONNECTION ROAD, GLENVIEW",AU,Queensland,NULL,-26.77162502097075,153.00756100000004,2017,04,04
410888,gbif,"Hygrophila costata Nees","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.",NULL,BR,"Santa Catarina",Vargem,-27.449444,-50.940833,2017,04,27
410889,gbif,"Hygrophila costata Nees","Eric Keith",NULL,US,Texas,NULL,30.623903,-95.536955,2017,07,06
410890,gbif,"Hygrophila costata Nees","Dan Johnson",NULL,US,Texas,NULL,29.632792,-95.664932,2017,07,04
410891,gbif,"Hygrophila costata Nees","G.M. Antar","Chácara localizada após aproximadamente 3 Km em estrada viscinal, partindo de entrada no Km 72 da rodovia Raposo Tavares.",BR,"São Paulo",Mairinque,-23.543055,-47.2075,2016,01,19
410892,gbif,"Hygrophila costata Nees","Gaio, J.; Demeda, C.; Gonzatti, F.; Marchett, C.; Scur, L.","Lagoa do Caconde",BR,"Rio Grande do Sul",Osório,-29.861386,-50.217397,2016,01,16
410893,gbif,"Hygrophila costata Nees",NULL,"BEND IN COOMERA RIVER AT GUANABA, NEAR GUANABA CREEK RD.",AU,Queensland,NULL,-27.956735,153.259399,2016,02,09
410894,gbif,"Hygrophila costata Nees","Stephens, G.","BEND IN COOMERA RIVER AT GUANABA, NEAR GUANABA CREEK RD.",AU,Queensland,NULL,-27.956870612324465,153.25912433597452,2016,02,09
410895,gbif,"Hygrophila costata Sinning","H. Lorenzi","Em canais de drenagem com terreno pantanoso.",BR,Rs,"Pantano Grande",NULL,NULL,2003,03,11
410896,gbif,"Hygrophila costata Sinning","H. Lorenzi","Na beira da estrada.",BR,Sp,Apiaí,NULL,NULL,2002,01,23
410897,gbif,"Hygrophila costata Sinning","H. Lorenzi","Colonia Quintilho, em beira de córrego.",BR,Pr,Paranaguá,-25.638783,-48.615183,2002,02,26
410898,gbif,"Hygrophila costata Sinning","H. Lorenzi","Estrada para o Parque Estadual da Serra do Mar.",BR,Sp,Cunha,-23.1648,-44.9599,2002,02,14
410899,gbif,"Hygrophila costata Sinning","Orzell, Steve; Bridges, Edwin","Locality Not Recorded",US,Florida,NULL,27.745278,-81.777778,1992,03,12
410900,gbif,"Hygrophila costata Sinning","Fiebrig, K.",NULL,PY,NULL,NULL,NULL,NULL,1903,03,04
410901,gbif,"Hygrophila costata Sinning",NULL,NULL,PA,NULL,NULL,NULL,NULL,,,
410902,gbif,"Hygrophila costata Sinning",NULL,NULL,PA,NULL,NULL,NULL,NULL,,,
410903,gbif,"Hygrophila costata Sinning","Fiebrig, K.",NULL,PY,NULL,NULL,NULL,NULL,,,
410904,gbif,"Hygrophila costata Sinning",NULL,NULL,IN,NULL,NULL,NULL,NULL,,,
410905,gbif,"Hygrophila costata Sinning",NULL,NULL,GT,NULL,NULL,NULL,NULL,,,
410906,gbif,"Hygrophila costata Sinning","Sellow, Friedrich",NULL,BR,NULL,NULL,NULL,NULL,,,
410907,gbif,"Hygrophila costata Sinning",NULL,NULL,CO,NULL,NULL,NULL,NULL,,,
410908,gbif,"Hygrophila costata Sinning",NULL,NULL,DO,NULL,NULL,NULL,NULL,,,
410909,gbif,"Hygrophila costata Sinning",NULL,NULL,GT,NULL,NULL,NULL,NULL,,,
410910,gbif,"Hygrophila costata Sinning",NULL,NULL,BR,NULL,NULL,NULL,NULL,,,
410911,gbif,"Hygrophila costata Sinning",NULL,NULL,PY,NULL,NULL,NULL,NULL,,,
410912,gbif,"Hygrophila costata Sinning",NULL,NULL,US,NULL,NULL,NULL,NULL,,,
410913,gbif,"Hygrophila costata Sinning",NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,
410914,gbif,"Hygrophila costata Sinning",NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,
410915,gbif,"Hygrophila costata Nees","W.A.Medina; et al.","Ituzaingó. Reserva Natural Iberá. Parque Cambyretá. 1,5km de Secc. de Guardaparque San Ignacio. En esteros al costado del camino de acceso",AR,Corrientes,Corrientes,-27.831389,-56.859167,2015,03,12
410916,gbif,"Hygrophila costata Nees","K.Kawakita; Almeida, C.G.; Rosa, G.S.; J.M.Garcia; L.M.Garcia; Rodrigues, S.","rio Samambaia, margem direita",BR,"Mato Grosso do Sul",Batayporã,-22.483333,-53.066667,2011,04,13
410917,gbif,"Hygrophila costata Nees","L.M.Garcia; Almeida, C.G.; Rosa, G.S.; K.Kawakita; L.M.Garcia; Rodrigues, S.","rio Paraná, ilha Porto Rico, ressaco do Leopoldo, margem direita.",BR,Paraná,"Porto Rico",-22.756667,-53.288833,2011,04,11
410918,gbif,"Hygrophila costata Nees","K.Kawakita; J.M.Garcia; J.G.Servilheri; Rosa, G.S.; Silva, A.S.","rio Baía, lagoa do Guaraná",BR,"Mato Grosso do Sul",Taquarussu,-22.720889,-53.304333,2010,11,25
410919,gbif,"Hygrophila costata Nees","Ma.C.Souza; K.Kawakita; Vianna, L.F.; Rosa, G.S.","rio Baía, ilha do Aurélio, margem direita; em frente à ilha",BR,"Mato Grosso do Sul",Batayporã,-22.683333,-53.216667,2008,10,04
410920,gbif,"Hygrophila costata Nees","K.Kawakita; Ma.C.Souza; Vianna, L.F.; Rosa, G.S.","rio Baía, lagoa Maria Luiza, margem direita; lagoa conectada ao rio Baía",BR,"Mato Grosso do Sul",Batayporã,-22.675,-53.219722,2008,10,04
410921,gbif,"Hygrophila costata Nees","K.Kawakita; Ma.C.Souza; Vianna, L.F.; Rosa, G.S.","rio Baía, margem direita; próximo á Ilha do Aurélio",BR,"Mato Grosso do Sul",Batayporã,-22.683333,-53.216667,2008,10,04
410922,gbif,"Hygrophila costata Nees","Bona, C.; MMoço, M.C.C.; Nunes, E.L.P.; Dalla Costa, R.","Fazenda Santa Cândida, Bahia das Capivaras, Lago Curicica.",BR,Paraná,"General Carneiro",NULL,NULL,2007,01,12
410923,gbif,"Hygrophila costata Nees","Paula-Souza, J.; Ferrucci, M.S.; Rando, J.G.; Meza Torres, E.I.","Ruta 126, ca. 10km de Paso Ledesma. Arredores do Ayo. Ayui. Espinal",AR,Corrientes,"Paso de los Libres",57.5243,29.8363,2007,01,13
410924,gbif,"Hygrophila costata Nees","Bona, C.","Fazenda Santa Cândida, Baía das Capivaras, Lago Curicaca.",BR,Paraná,"General Carneiro",NULL,NULL,2007,01,12
410925,gbif,"Hygrophila costata Nees","L.P. de Queiroz; R. Salas; W. Medina","Primeiro de Mayo: ca. 4,5 km da Ruta 11 na estrada",AR,Chaco,NULL,-27.0,-58.0,2007,12,01
410926,gbif,"Hygrophila costata Nees","Silva, J.M.; Barbosa, E.; Barbosa, E.","Rodovia Porto Murtinho para Bonito, Fazenda Santa Margarida",BR,"Mato Grosso do Sul","Porto Murtinho",0.0,0.0,2006,06,15
410927,gbif,"Hygrophila costata Nees","J.M. Silva","Rodovia Porto Murtinho para Bonito",BR,Ms,"Porto Murtinho",NULL,NULL,2006,06,15
410928,gbif,"Hygrophila costata Nees","J.M. Silva; E. Barboza","Rodovia Porto Murtinho para Bonito, Fazenda Santa Margarida.",BR,"Mato Grosso do Sul","Porto Murtinho",NULL,NULL,2006,06,15
410929,gbif,"Hygrophila costata Nees","Labiak, P.H.","Parque Nacional do Iguaçu, Ilhas acima das Cataratas.",BR,Paraná,"Foz do Iguaçu",-25.601667,-54.361111,2006,10,03
410930,gbif,"Hygrophila costata Nees","Bona, C.","Fazenda Santa Cândida, Banhado do Lago Curicaca.",BR,Paraná,"General Carneiro",NULL,NULL,2005,02,22
410931,gbif,"Hygrophila costata Nees","O.S. Ribas","Rio Iguaçu",BR,Pr,"Capitão Leônidas Marques",NULL,NULL,2004,04,10
410932,gbif,"Hygrophila costata Nees","Ribas, O.S.","Rio Iguaçu",BR,Paraná,"Capitão Leônidas Marques",NULL,NULL,2004,04,10
410933,gbif,"Hygrophila costata Nees",J.Milne,"rio Paraná, island Carioca",BR,Paraná,"Porto Rico",0.0,0.0,2002,11,14
410934,gbif,"Hygrophila costata Nees",Ma.C.Souza,"Lagoa na Ilha dos Porcos, Rio Paraná",BR,Paraná,"Porto Rico",0.0,0.0,2001,03,20
410935,gbif,"Hygrophila costata Nees","G. B. Scherer",Pedreira.,BR,"Rio Grande do Sul","Bom Retiro do Sul",-30.068211,-52.958489,2014,02,18
410936,gbif,"Hygrophila costata Nees","W. G. Vargas","Arriba del río Suaza",CO,Huila,NULL,NULL,NULL,2010,12,12
410937,gbif,"Hygrophila costata Nees","Paula-Souza, J.; Ferrucci, M.S.; Rando, J.G.; Meza Torres, E.I.","Ruta 12 em direção a Mercedes, 200m antes da ponte do Rio Santa Luzia. Palmar com Butia, solo arenoso inundável",AR,Corrientes,"Bella Vista",58.7179,28.5564,2007,01,11
410938,gbif,"Hygrophila costata Nees","Costa Neto,  S.V. da; Lobato,  L.C.B.",Pracuúba,BR,Amapá,NULL,NULL,NULL,2004,08,16
410939,gbif,"Hygrophila costata Nees","Bernal R. | Estudiantes de Sistemática Vegetal.","""Corregimiento San José de Suaita, laderas al N de la quebrada La Cascada, al W de la carretera a Guadalupe""",CO,Santander,NULL,6.15,-73.35,2003,10,01
410940,gbif,"Hygrophila costata Nees","Bernal Rocío","Al N de la quebrada La Cascada y al w de laVía a Guadalupe",CO,Santander,"San José de Suaita",6.15,-73.35,2003,10,01
410941,gbif,"Hygrophila costata Nees","Elsa M. Zardini|M. Vera","Around Bella Vista Norte. ""Chaco"" (dry forest and scrubs) communities on clay soil.",PY,Amambay,NULL,-22.12916,-56.5,2000,01,12
410942,gbif,"Hygrophila costata Nees","A. Di Giácomo","Reserva Ecológica El Bagual. San Francisco de Laishi",AR,Formosa,NULL,-26.233333,-58.633333,2000,10,20
410943,gbif,"Hygrophila costata Nees","A. Di Giácomo","Reserva Ecológica El Bagual. San Francisco de Laishi",AR,Formosa,NULL,-26.233333,-58.633333,2000,10,20
410944,gbif,"Hygrophila costata Nees","A. M. Miranda","Floresta Nacional do Araripe.",BR,CearÃ¡,NULL,-7.237917386433324,-39.40911276610541,1999,05,23
410945,gbif,"Hygrophila costata Nees","Posada J. | Llano R.","""Zona aledaña al proyecto hidroeléctrico Porce II, río Porce brazo, antes de la represa""",CO,Antioquia,NULL,6.81385,-75.15306,1999,06,17
410946,gbif,"Hygrophila costata Nees","Elsa M. Zardini|R. Gamarra","Yacyretá Dam Island Reserve: Eastern area. Aña Cua. Collecting area: around two hectares.",PY,Itapúa,NULL,-27.395833,-56.652222,1999,10,23
410947,gbif,"Hygrophila costata Nees","Fernández J.L. | Cárdenas C. | Vera D. | Páez V.","""Ubalá B., vereda Campo Hermoso, escuela de Campo Hermoso""",CO,Cundinamarca,NULL,4.758611,-73.358056,1998,07,02
410948,gbif,"Hygrophila costata Nees","Vali Pott","Middle Taboco Region",BR,NULL,NULL,-20.073,-55.647,1998,08,24
410949,gbif,"Hygrophila costata Nees","V.J. Pott","Fazenda Taboco. Rio Taboco. Próximo à ponte da sede. Sub-região de Aquidauana. Pantanal.",BR,"Mato Grosso do Sul",Aquidauana,-20.072778,-55.512778,1998,08,29
410950,gbif,"Hygrophila costata Nees","Vali Pott","Upper Negro Region",BR,NULL,NULL,-19.412,-54.985,1998,08,24
410951,gbif,"Hygrophila costata Nees","Tamara Núñez|C. Tapuy","Construcción de Carretera Campococha-Chontapunta.  Sendero hacia  Río Rodríguez-Camino Huaorani.  Bosque húmedo Tropical. Bosque  primario.",EC,Napo,NULL,-0.91666,-77.41666,1997,08,29
410952,gbif,"Hygrophila costata Nees","Nur Ritter","""Lasa Lajas de los Espanoles""; alongside the road to Concepcion. 16 degrees 13'70""S, 62 degrees 14' 46"" W. Growing in standing water along the edges of a stream.",BO,"Santa Cruz",NULL,NULL,NULL,1996,03,21
410953,gbif,"Hygrophila costata Nees","J.L. Fernández Alonso & alumnos  Intr. Sistemática Vegetal","Boyacá, Via Arcabuco-Moniquirá, desvio a Togui",CO,NULL,NULL,NULL,NULL,1996,05,14
410954,gbif,"Hygrophila costata Nees","Fernando O. Zuloaga|Osvaldo Morrone|Maria E. Múlgura de Romero|A. Vega","Parque Provincial Moconá, Río Pepirí-Guazú",AR,Misiones,NULL,-27.15,-53.9,1995,02,26
410955,gbif,"Hygrophila costata Nees","Mondin, C.","Balneário Praia Azul",BR,"Rio Grande do Sul","Arroio do Sal",NULL,NULL,2009,03,01
410956,gbif,"Hygrophila costata Nees","Cervi, A.C.",Solitude.,BR,Paraná,Curitiba,NULL,NULL,2006,03,15
410957,gbif,"Hygrophila costata Nees","J. Cordeiro","Jardim Botânico Municipal.",BR,Paraná,Curitiba,NULL,NULL,2003,02,18
410958,gbif,"Hygrophila costata Nees",L.Scur,"Caxias do Sul. Vila Seca",BR,"Rio Grande do Sul",NULL,NULL,NULL,2000,02,01
410959,gbif,"Hygrophila costata Nees","DALL'AGNOL, C.",NULL,BR,Rs,"Marcelino Ramos",NULL,NULL,1992,10,05
410960,gbif,"Hygrophila costata Nees","DALL'AGNOL, C.",NULL,BR,Rs,"Marcelino Ramos",NULL,NULL,1992,11,09
410961,gbif,"Hygrophila costata Nees","DALL'AGNOL, C.",NULL,BR,Rs,"Marcelino Ramos",NULL,NULL,1992,12,05
410962,gbif,"Hygrophila costata Nees","Luiz Soledade Otero","Rio Vermelho.",BR,"Santa Catarina","Santa Catarina",NULL,NULL,1988,05,01
410963,gbif,"Hygrophila costata Nees","Cordeiro, J; Silva, JM da","Parque Iguaçu",BR,Paraná,Curitiba,0.0,0.0,1986,01,14
410964,gbif,"Hygrophila costata Nees","Cordeiro, J.","Parque Iguaçu",BR,Paraná,Curitiba,0.0,0.0,1986,01,14
410965,gbif,"Hygrophila costata Nees","J. Cordeiro & J. M. Silva","Parque Iguaçu (mun. Curitiba) Paraná. Erva 50  cm. Flor lilás. Brejo",BR,Paraná,NULL,NULL,NULL,1986,01,14
410966,gbif,"Hygrophila costata Nees","Cordeiro, J. & J. M. Silva","Curitiba - Parqua Iguaçu./Estado do Parana",BR,NULL,NULL,-25.45528,-49.26278,1986,01,14
410967,gbif,"Hygrophila costata Nees","ZANIN, E. M.","ESTREITO AUGUSTO CÉSAR",BR,Rs,"Marcelino Ramos",NULL,NULL,1986,01,08
410968,gbif,"Hygrophila costata Nees","Marchesi, Ziliani & Berrutti","Uruguay: Rivera",UY,NULL,NULL,NULL,NULL,1985,01,01
410969,gbif,"Hygrophila costata Nees","Bresolin, A.","Rio Vermelho, próximo camping, Ilha de Santa Catarina.",BR,"Santa Catarina",Florianópolis,NULL,NULL,1980,04,21
410970,gbif,"Hygrophila costata Nees","Gerrit Davidse|T.P. Ramamoorthy|Daniel M. Vital","2 km E of Cascavel along Highway BR-277 to Curitiba.",BR,Paraná,NULL,-24.9737,-53.3918,1976,03,14
410971,gbif,"Hygrophila costata Nees","E. Pereira",NULL,BR,"Rio Grande do Sul",Triunfo,NULL,NULL,1964,01,22
410972,gbif,"Hygrophila costata Nees","Reitz; Klein","Rio Castelhanos.",BR,"Santa Catarina",Caçador,NULL,NULL,1962,01,09
410973,gbif,"Hygrophila costata Nees","Reitz, R.; Klein, R.M.","Rio Castelhanos.",BR,"Santa Catarina",Caçador,NULL,NULL,1962,01,09
410974,gbif,"Hygrophila costata Nees","Reitz, R.; Klein, R.M.","Rio Castelhanos.",BR,"Santa Catarina",Caçador,NULL,NULL,1962,01,09
410975,gbif,"Hygrophila costata Nees","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.",NULL,BR,"Santa Catarina",Agrolândia,-27.54,-49.770556,2018,01,28
410976,gbif,"Hygrophila R.Br.","Kassner-Filho, A.","Mirante do Perimbó.",BR,"Santa Catarina",Petrolândia,-27.593611,-49.738055,2018,01,20
410977,gbif,"Hygrophila R.Br.","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.",NULL,BR,"Santa Catarina",Witmarsum,-26.91,-49.77,2018,02,19
410978,gbif,"Hygrophila costata Nees","A.Maruyama & L.Cicco",NULL,BR,Sp,Cunha,-23.229444,-45.014722,2018,02,11
410979,gbif,"Hygrophila R.Br.","Funez, L.A.","SC-155, próximo ao Rio Irani.",BR,"Santa Catarina",Xanxerê,NULL,NULL,2018,02,13
410980,gbif,"Hygrophila R.Br.","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.",NULL,BR,"Santa Catarina",Urubici,-28.0825,-49.591111,2018,03,08
410981,gbif,"Hygrophila costata Nees","E.L. Siqueira","Estação Ecológica Municipal Colombo",BR,Pr,"Mato Rico",-24.738861,-52.227472,2018,03,13
410982,gbif,"Hygrophila costata Nees","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Althoff, L.F.",NULL,BR,"Santa Catarina",Urubici,-28.080278,-49.406667,2018,03,13
410983,gbif,"Hygrophila R.Br.","Kassner-Filho, A.","Pequena Central Hidroelétrica 2.",BR,"Santa Catarina","Água Doce",-26.699167,-51.601667,2018,03,23
